[s],CH1[V]
-1.03010E-05,-5.116E-01
-1.03000E-05,-4.916E-01
-1.02990E-05,-4.916E-01
-1.02980E-05,-4.916E-01
-1.02970E-05,-5.116E-01
-1.02960E-05,-4.916E-01
-1.02950E-05,-4.916E-01
-1.02940E-05,-4.916E-01
-1.02930E-05,-4.916E-01
-1.02920E-05,-5.116E-01
-1.02910E-05,-5.116E-01
-1.02900E-05,-4.916E-01
-1.02890E-05,-4.916E-01
-1.02880E-05,-4.916E-01
-1.02870E-05,-4.916E-01
-1.02860E-05,-4.916E-01
-1.02850E-05,-4.916E-01
-1.02840E-05,-4.916E-01
-1.02830E-05,-4.916E-01
-1.02820E-05,-4.916E-01
-1.02810E-05,-4.916E-01
-1.02800E-05,-4.916E-01
-1.02790E-05,-4.916E-01
-1.02780E-05,-4.916E-01
-1.02770E-05,-4.916E-01
-1.02760E-05,-4.916E-01
-1.02750E-05,-5.116E-01
-1.02740E-05,-4.916E-01
-1.02730E-05,-4.916E-01
-1.02720E-05,-4.916E-01
-1.02710E-05,-4.916E-01
-1.02700E-05,-4.916E-01
-1.02690E-05,-4.716E-01
-1.02680E-05,-4.916E-01
-1.02670E-05,-4.916E-01
-1.02660E-05,-4.916E-01
-1.02650E-05,-4.716E-01
-1.02640E-05,-4.916E-01
-1.02630E-05,-4.916E-01
-1.02620E-05,-4.916E-01
-1.02610E-05,-4.916E-01
-1.02600E-05,-4.916E-01
-1.02590E-05,-4.916E-01
-1.02580E-05,-4.716E-01
-1.02570E-05,-4.716E-01
-1.02560E-05,-4.916E-01
-1.02550E-05,-4.916E-01
-1.02540E-05,-4.916E-01
-1.02530E-05,-4.916E-01
-1.02520E-05,-4.916E-01
-1.02510E-05,-4.716E-01
-1.02500E-05,-4.916E-01
-1.02490E-05,-4.916E-01
-1.02480E-05,-5.116E-01
-1.02470E-05,-4.916E-01
-1.02460E-05,-4.916E-01
-1.02450E-05,-4.716E-01
-1.02440E-05,-4.916E-01
-1.02430E-05,-4.916E-01
-1.02420E-05,-4.916E-01
-1.02410E-05,-4.916E-01
-1.02400E-05,-4.716E-01
-1.02390E-05,-4.916E-01
-1.02380E-05,-4.916E-01
-1.02370E-05,-4.916E-01
-1.02360E-05,-4.916E-01
-1.02350E-05,-4.916E-01
-1.02340E-05,-4.916E-01
-1.02330E-05,-4.716E-01
-1.02320E-05,-4.916E-01
-1.02310E-05,-4.916E-01
-1.02300E-05,-4.916E-01
-1.02290E-05,-4.916E-01
-1.02280E-05,-4.916E-01
-1.02270E-05,-4.916E-01
-1.02260E-05,-4.916E-01
-1.02250E-05,-4.916E-01
-1.02240E-05,-5.116E-01
-1.02230E-05,-5.116E-01
-1.02220E-05,-5.116E-01
-1.02210E-05,-4.916E-01
-1.02200E-05,-4.916E-01
-1.02190E-05,-4.716E-01
-1.02180E-05,-4.916E-01
-1.02170E-05,-5.116E-01
-1.02160E-05,-4.916E-01
-1.02150E-05,-4.916E-01
-1.02140E-05,-4.916E-01
-1.02130E-05,-4.716E-01
-1.02120E-05,-4.916E-01
-1.02110E-05,-5.116E-01
-1.02100E-05,-4.916E-01
-1.02090E-05,-4.916E-01
-1.02080E-05,-4.916E-01
-1.02070E-05,-4.916E-01
-1.02060E-05,-4.916E-01
-1.02050E-05,-4.916E-01
-1.02040E-05,-4.916E-01
-1.02030E-05,-4.916E-01
-1.02020E-05,-4.916E-01
-1.02010E-05,-4.716E-01
-1.02000E-05,-4.916E-01
-1.01990E-05,-4.916E-01
-1.01980E-05,-5.116E-01
-1.01970E-05,-4.916E-01
-1.01960E-05,-4.916E-01
-1.01950E-05,-4.916E-01
-1.01940E-05,-4.716E-01
-1.01930E-05,-4.716E-01
-1.01920E-05,-4.916E-01
-1.01910E-05,-4.916E-01
-1.01900E-05,-4.916E-01
-1.01890E-05,-4.916E-01
-1.01880E-05,-4.916E-01
-1.01870E-05,-4.716E-01
-1.01860E-05,-4.916E-01
-1.01850E-05,-4.916E-01
-1.01840E-05,-5.116E-01
-1.01830E-05,-4.916E-01
-1.01820E-05,-4.916E-01
-1.01810E-05,-4.716E-01
-1.01800E-05,-4.916E-01
-1.01790E-05,-4.916E-01
-1.01780E-05,-4.916E-01
-1.01770E-05,-4.716E-01
-1.01760E-05,-4.916E-01
-1.01750E-05,-4.916E-01
-1.01740E-05,-4.916E-01
-1.01730E-05,-5.116E-01
-1.01720E-05,-4.916E-01
-1.01710E-05,-4.916E-01
-1.01700E-05,-4.916E-01
-1.01690E-05,-4.916E-01
-1.01680E-05,-4.916E-01
