[Hz],FFT[dBm]
3.2348633E+04,-8.46854E+01
3.2409668E+04,-8.50854E+01
3.2470703E+04,-8.20254E+01
3.2531738E+04,-8.97054E+01
3.2592773E+04,-9.55254E+01
3.2653809E+04,-9.37254E+01
3.2714844E+04,-8.21654E+01
3.2775879E+04,-8.23054E+01
3.2836914E+04,-8.69454E+01
3.2897949E+04,-8.78654E+01
3.2958984E+04,-8.70654E+01
3.3020020E+04,-9.26254E+01
3.3081055E+04,-8.40654E+01
3.3142090E+04,-8.01254E+01
3.3203125E+04,-8.87854E+01
3.3264160E+04,-8.71454E+01
3.3325195E+04,-8.95854E+01
3.3386230E+04,-8.59454E+01
3.3447266E+04,-8.30454E+01
3.3508301E+04,-8.19054E+01
3.3569336E+04,-8.86854E+01
3.3630371E+04,-8.50454E+01
3.3691406E+04,-8.87254E+01
3.3752441E+04,-8.38654E+01
3.3813477E+04,-9.08854E+01
3.3874512E+04,-8.84654E+01
3.3935547E+04,-9.29854E+01
3.3996582E+04,-8.25054E+01
3.4057617E+04,-9.11054E+01
3.4118652E+04,-8.64054E+01
3.4179688E+04,-8.26654E+01
3.4240723E+04,-8.19454E+01
3.4301758E+04,-8.06454E+01
3.4362793E+04,-8.28054E+01
3.4423828E+04,-8.78254E+01
3.4484863E+04,-8.73454E+01
3.4545898E+04,-8.99654E+01
3.4606934E+04,-8.79454E+01
3.4667969E+04,-8.77054E+01
3.4729004E+04,-8.71054E+01
3.4790039E+04,-8.81254E+01
3.4851074E+04,-8.77854E+01
3.4912109E+04,-8.56654E+01
3.4973145E+04,-9.00054E+01
3.5034180E+04,-8.75454E+01
3.5095215E+04,-9.00854E+01
3.5156250E+04,-8.19254E+01
3.5217285E+04,-7.90054E+01
3.5278320E+04,-8.06854E+01
3.5339355E+04,-8.55654E+01
3.5400391E+04,-1.02685E+02
3.5461426E+04,-9.44254E+01
3.5522461E+04,-9.03854E+01
3.5583496E+04,-8.52254E+01
3.5644531E+04,-8.59054E+01
3.5705566E+04,-8.51254E+01
3.5766602E+04,-8.34054E+01
3.5827637E+04,-8.90054E+01
3.5888672E+04,-8.43854E+01
3.5949707E+04,-8.41854E+01
3.6010742E+04,-7.93654E+01
3.6071777E+04,-8.06454E+01
3.6132812E+04,-8.67254E+01
3.6193848E+04,-9.15054E+01
3.6254883E+04,-8.35654E+01
3.6315918E+04,-8.56054E+01
3.6376953E+04,-8.45654E+01
3.6437988E+04,-8.36654E+01
3.6499023E+04,-9.51054E+01
3.6560059E+04,-8.64254E+01
3.6621094E+04,-8.10054E+01
3.6682129E+04,-8.20454E+01
3.6743164E+04,-8.45854E+01
3.6804199E+04,-8.31854E+01
3.6865234E+04,-8.59254E+01
3.6926270E+04,-1.03225E+02
3.6987305E+04,-8.62454E+01
3.7048340E+04,-8.76654E+01
3.7109375E+04,-9.06854E+01
3.7170410E+04,-9.53454E+01
3.7231445E+04,-8.60654E+01
3.7292480E+04,-8.49454E+01
3.7353516E+04,-9.23054E+01
3.7414551E+04,-8.12854E+01
3.7475586E+04,-8.23454E+01
3.7536621E+04,-8.46254E+01
3.7597656E+04,-8.64254E+01
3.7658691E+04,-8.41254E+01
3.7719727E+04,-8.62254E+01
3.7780762E+04,-8.59854E+01
3.7841797E+04,-8.23254E+01
3.7902832E+04,-8.22254E+01
3.7963867E+04,-8.27854E+01
3.8024902E+04,-8.11654E+01
3.8085938E+04,-8.19054E+01
3.8146973E+04,-8.78254E+01
3.8208008E+04,-9.50054E+01
3.8269043E+04,-9.09254E+01
3.8330078E+04,-8.96654E+01
3.8391113E+04,-9.04654E+01
3.8452148E+04,-9.09254E+01
3.8513184E+04,-8.11454E+01
3.8574219E+04,-7.91054E+01
3.8635254E+04,-8.32054E+01
3.8696289E+04,-9.16254E+01
3.8757324E+04,-8.47454E+01
3.8818359E+04,-8.21254E+01
3.8879395E+04,-8.15854E+01
3.8940430E+04,-9.38454E+01
3.9001465E+04,-8.07654E+01
3.9062500E+04,-7.86854E+01
3.9123535E+04,-8.56854E+01
3.9184570E+04,-1.06265E+02
3.9245605E+04,-9.53854E+01
3.9306641E+04,-8.54854E+01
3.9367676E+04,-8.22654E+01
3.9428711E+04,-8.29854E+01
3.9489746E+04,-9.35854E+01
3.9550781E+04,-1.00185E+02
3.9611816E+04,-8.67454E+01
3.9672852E+04,-8.53454E+01
3.9733887E+04,-8.74454E+01
3.9794922E+04,-8.62254E+01
3.9855957E+04,-8.24854E+01
3.9916992E+04,-8.00454E+01
3.9978027E+04,-8.40854E+01
4.0039062E+04,-1.05325E+02
4.0100098E+04,-9.31254E+01
4.0161133E+04,-1.02285E+02
4.0222168E+04,-9.03254E+01
4.0283203E+04,-1.00565E+02
4.0344238E+04,-9.30854E+01
4.0405273E+04,-9.11654E+01
4.0466309E+04,-8.74254E+01
4.0527344E+04,-9.07454E+01
4.0588379E+04,-9.53054E+01
4.0649414E+04,-8.86654E+01
4.0710449E+04,-8.55254E+01
4.0771484E+04,-8.97454E+01
4.0832520E+04,-8.45854E+01
4.0893555E+04,-9.09254E+01
4.0954590E+04,-8.44454E+01
4.1015625E+04,-8.73654E+01
4.1076660E+04,-9.31254E+01
4.1137695E+04,-8.39654E+01
4.1198730E+04,-8.40054E+01
4.1259766E+04,-8.55254E+01
4.1320801E+04,-8.29654E+01
4.1381836E+04,-8.53254E+01
4.1442871E+04,-9.03054E+01
4.1503906E+04,-9.82454E+01
4.1564941E+04,-8.52854E+01
4.1625977E+04,-8.26054E+01
4.1687012E+04,-9.22454E+01
4.1748047E+04,-8.38054E+01
4.1809082E+04,-8.38054E+01
4.1870117E+04,-8.68054E+01
4.1931152E+04,-9.25854E+01
4.1992188E+04,-9.68254E+01
4.2053223E+04,-9.74054E+01
4.2114258E+04,-8.97054E+01
4.2175293E+04,-9.29254E+01
4.2236328E+04,-8.33654E+01
4.2297363E+04,-8.02254E+01
4.2358398E+04,-8.32454E+01
4.2419434E+04,-8.54254E+01
4.2480469E+04,-9.15054E+01
4.2541504E+04,-9.35854E+01
4.2602539E+04,-9.03054E+01
4.2663574E+04,-8.38254E+01
4.2724609E+04,-8.43454E+01
4.2785645E+04,-8.53054E+01
4.2846680E+04,-8.55854E+01
4.2907715E+04,-8.81054E+01
4.2968750E+04,-8.82654E+01
4.3029785E+04,-8.94054E+01
4.3090820E+04,-9.49854E+01
4.3151855E+04,-8.89654E+01
4.3212891E+04,-8.93454E+01
4.3273926E+04,-8.75854E+01
4.3334961E+04,-8.17254E+01
4.3395996E+04,-8.12054E+01
4.3457031E+04,-8.28854E+01
4.3518066E+04,-8.60454E+01
4.3579102E+04,-8.97454E+01
4.3640137E+04,-9.60454E+01
4.3701172E+04,-1.07325E+02
4.3762207E+04,-8.87454E+01
4.3823242E+04,-8.39454E+01
4.3884277E+04,-8.93654E+01
4.3945312E+04,-8.66854E+01
4.4006348E+04,-8.30054E+01
4.4067383E+04,-8.31054E+01
4.4128418E+04,-9.51254E+01
4.4189453E+04,-8.43454E+01
4.4250488E+04,-8.51054E+01
4.4311523E+04,-8.69454E+01
4.4372559E+04,-9.00454E+01
4.4433594E+04,-9.02654E+01
4.4494629E+04,-8.57254E+01
4.4555664E+04,-8.43254E+01
4.4616699E+04,-8.86854E+01
4.4677734E+04,-1.01805E+02
4.4738770E+04,-8.92254E+01
4.4799805E+04,-8.81254E+01
4.4860840E+04,-8.57654E+01
4.4921875E+04,-8.85654E+01
4.4982910E+04,-9.38654E+01
4.5043945E+04,-8.56654E+01
4.5104980E+04,-8.49054E+01
4.5166016E+04,-8.72854E+01
4.5227051E+04,-9.24654E+01
4.5288086E+04,-9.19254E+01
4.5349121E+04,-9.70854E+01
4.5410156E+04,-8.08254E+01
4.5471191E+04,-7.97054E+01
4.5532227E+04,-8.58854E+01
4.5593262E+04,-9.14054E+01
4.5654297E+04,-8.95454E+01
4.5715332E+04,-8.35654E+01
4.5776367E+04,-8.56854E+01
4.5837402E+04,-9.56454E+01
4.5898438E+04,-9.57254E+01
4.5959473E+04,-8.88054E+01
4.6020508E+04,-8.55254E+01
4.6081543E+04,-9.18854E+01
4.6142578E+04,-1.03765E+02
4.6203613E+04,-8.81854E+01
4.6264648E+04,-8.57854E+01
4.6325684E+04,-9.13854E+01
4.6386719E+04,-8.26054E+01
4.6447754E+04,-8.29854E+01
4.6508789E+04,-8.88654E+01
4.6569824E+04,-9.54854E+01
4.6630859E+04,-8.89454E+01
4.6691895E+04,-9.06254E+01
4.6752930E+04,-9.71254E+01
4.6813965E+04,-1.05425E+02
4.6875000E+04,-8.93454E+01
4.6936035E+04,-8.12654E+01
4.6997070E+04,-8.18654E+01
4.7058105E+04,-8.57254E+01
4.7119141E+04,-8.37654E+01
